feature,coef,annotation
K09698,-1.226355375,Aminoacyl-tRNA biosynthesis
K01878,-0.927909636,Aminoacyl-tRNA biosynthesis
K01879,-0.927909636,Aminoacyl-tRNA biosynthesis
K01893,-0.6296734653,Aminoacyl-tRNA biosynthesis
K01867,-0.6150637596,Aminoacyl-tRNA biosynthesis
K01869,-0.6151274499,Aminoacyl-tRNA biosynthesis
K01870,-0.6151757968,Aminoacyl-tRNA biosynthesis
K01875,-0.6150532531,Aminoacyl-tRNA biosynthesis
K01883,-0.6151274499,Aminoacyl-tRNA biosynthesis
K01889,-0.6151274499,Aminoacyl-tRNA biosynthesis
K01890,-0.6151274499,Aminoacyl-tRNA biosynthesis
K01866,-0.6121888139,Aminoacyl-tRNA biosynthesis
K01892,-0.6145397716,Aminoacyl-tRNA biosynthesis
K04567,-0.5477966873,Aminoacyl-tRNA biosynthesis
K01868,-0.6108226594,Aminoacyl-tRNA biosynthesis
K01873,-0.6109034597,Aminoacyl-tRNA biosynthesis
K01887,-0.6107552426,Aminoacyl-tRNA biosynthesis
K01881,-0.6103613392,Aminoacyl-tRNA biosynthesis
K01876,-0.5545282828,Aminoacyl-tRNA biosynthesis
K01872,-0.5193587339,Aminoacyl-tRNA biosynthesis
K02435,-0.7092318936,Aminoacyl-tRNA biosynthesis
K02433,-0.7088546038,Aminoacyl-tRNA biosynthesis
K02434,-0.7087421602,Aminoacyl-tRNA biosynthesis
K01880,-0.417437565,Aminoacyl-tRNA biosynthesis
K03195,-0.9952460852,Bacterial secretion system
K03196,-0.9952460852,Bacterial secretion system
K03200,-0.9952460852,Bacterial secretion system
K03203,-0.9952460852,Bacterial secretion system
K03204,-0.9952460852,Bacterial secretion system
K03199,-0.9828587564,Bacterial secretion system
K02456,0.542087376,Bacterial secretion system
K02455,0.3087487432,Bacterial secretion system
K00833,-0.8864005889,Biotin metabolism
K00652,-0.8675313399,Biotin metabolism
K09789,-1.423843411,Biotin metabolism
K02169,-0.9249597282,Biotin metabolism
K01935,-0.6038117955,Biotin metabolism
K03524,-0.4682876736,Biotin metabolism
K03471,-1.315392596,DNA replication
K03111,-0.6174977498,DNA replication
K01972,-0.559882695,DNA replication
K02314,-0.6071723557,DNA replication
K03470,-0.623402476,DNA replication
K02316,-0.613558731,DNA replication
K03469,-0.6534842613,DNA replication
K01159,-0.5232891215,Homologous recombination
K03550,-0.6151274499,Homologous recombination
K03551,-0.6151274499,Homologous recombination
K03584,-0.6172481871,Homologous recombination
K03629,-0.6204349469,Homologous recombination
K04066,-0.6151274499,Homologous recombination
K06187,-0.6151274499,Homologous recombination
K03553,-0.61037184,Homologous recombination
K03581,-0.560690309,Homologous recombination
K03655,-0.503868022,Homologous recombination
K00677,-0.9373858854,Lipopolysaccharide biosynthesis
K02517,-0.8633677524,Lipopolysaccharide biosynthesis
K00748,-0.7972742728,Lipopolysaccharide biosynthesis
K00912,-0.7972742728,Lipopolysaccharide biosynthesis
K01627,-0.7972742728,Lipopolysaccharide biosynthesis
K02527,-0.7972742728,Lipopolysaccharide biosynthesis
K02536,-0.7638418817,Lipopolysaccharide biosynthesis
K03269,-0.9757594883,Lipopolysaccharide biosynthesis
K00979,-0.6450749274,Lipopolysaccharide biosynthesis
K03270,-0.7029409278,Lipopolysaccharide biosynthesis
K03280,-1.546165449,Lipopolysaccharide biosynthesis
K02840,-1.128615397,Lipopolysaccharide biosynthesis
K02844,1.07042362,Lipopolysaccharide biosynthesis
K02849,0.9769693154,Lipopolysaccharide biosynthesis
K00331,-0.8355339907,Oxidative phosphorylation
K00340,-0.8348993201,Oxidative phosphorylation
K00341,-0.8353338739,Oxidative phosphorylation
K00343,-0.8355339907,Oxidative phosphorylation
K00330,-0.8058390603,Oxidative phosphorylation
K00339,-0.806382496,Oxidative phosphorylation
K00342,-0.806382496,Oxidative phosphorylation
K00338,-0.7943343332,Oxidative phosphorylation
K00337,-0.7879032413,Oxidative phosphorylation
K03885,-1.075199818,Oxidative phosphorylation
K13378,-1.016919197,Oxidative phosphorylation
K00425,-1.006677521,Oxidative phosphorylation
K00426,-1.006677521,Oxidative phosphorylation
K02113,-0.6667877817,Oxidative phosphorylation
K02108,-0.6236095698,Oxidative phosphorylation
K02110,-0.6240858672,Oxidative phosphorylation
K02111,-0.6222813387,Oxidative phosphorylation
K02112,-0.6240858672,Oxidative phosphorylation
K02114,-0.6239145663,Oxidative phosphorylation
K02115,-0.6242282383,Oxidative phosphorylation
K02109,-0.6139880435,Oxidative phosphorylation
K01507,-0.5387071465,Oxidative phosphorylation
K00937,-0.4779791847,Oxidative phosphorylation
K06019,-0.6089459927,Oxidative phosphorylation
K00332,-0.4148598352,Oxidative phosphorylation
K00333,-0.4148598352,Oxidative phosphorylation
K03587,-0.8361772838,Peptidoglycan biosynthesis
K07259,-1.057175058,Peptidoglycan biosynthesis
K03814,-1.033914669,Peptidoglycan biosynthesis
K08724,-1.360795,Peptidoglycan biosynthesis
K05363,-1.443413876,Peptidoglycan biosynthesis
K12555,-1.281854267,Peptidoglycan biosynthesis
K12553,-1.427459513,Peptidoglycan biosynthesis
K00887,-1.24450367,Peptidoglycan biosynthesis
K11695,-1.419740137,Peptidoglycan biosynthesis
K11694,-1.408115432,Peptidoglycan biosynthesis
K02563,-0.6151274499,Peptidoglycan biosynthesis
K05366,-0.606926955,Peptidoglycan biosynthesis
K01000,-0.6109034597,Peptidoglycan biosynthesis
K06153,-0.5580945622,Peptidoglycan biosynthesis
K03693,-1.208831656,Peptidoglycan biosynthesis
K12554,-1.537712813,Peptidoglycan biosynthesis
K05367,-0.4173827529,Peptidoglycan biosynthesis
K00857,-1.011153654,Pyrimidine metabolism
K00943,-0.9001530722,Pyrimidine metabolism
K00560,-0.7365569476,Pyrimidine metabolism
K00226,-1.242092997,Pyrimidine metabolism
K02825,-1.193206617,Pyrimidine metabolism
K01956,-0.7023075803,Pyrimidine metabolism
K08728,-1.202898794,Pyrimidine metabolism
K00876,-0.6205012972,Pyrimidine metabolism
K00609,-0.6439638361,Pyrimidine metabolism
K01591,-0.6204203662,Pyrimidine metabolism
K09903,-0.6151274499,Pyrimidine metabolism
K01937,-0.6148222492,Pyrimidine metabolism
K00761,-0.6109496983,Pyrimidine metabolism
K01520,-0.605013053,Pyrimidine metabolism
K00384,-0.6832807447,Pyrimidine metabolism
K01465,-0.5843449263,Pyrimidine metabolism
K00254,-0.5903783031,Pyrimidine metabolism
K01493,-0.7275734426,Pyrimidine metabolism
K01955,-0.5594017375,Pyrimidine metabolism
K00756,-0.7862745106,Pyrimidine metabolism
K00762,-0.5070453149,Pyrimidine metabolism
K00945,-0.4405244628,Pyrimidine metabolism
K01464,0.3396007159,Pyrimidine metabolism
K01494,0.3654461169,Pyrimidine metabolism
K02919,-0.9304972639,Ribosome
K02897,-0.5714443143,Ribosome
K02913,-0.7882747008,Ribosome
K02902,-0.6262977317,Ribosome
K02909,-0.5618987777,Ribosome
K02863,-0.6151274499,Ribosome
K02864,-0.6151274499,Ribosome
K02867,-0.6151274499,Ribosome
K02871,-0.6151274499,Ribosome
K02874,-0.6151274499,Ribosome
K02876,-0.6151274499,Ribosome
K02878,-0.6151274499,Ribosome
K02879,-0.6151274499,Ribosome
K02881,-0.6151274499,Ribosome
K02884,-0.6151274499,Ribosome
K02886,-0.6151274499,Ribosome
K02887,-0.6151274499,Ribosome
K02888,-0.6151274499,Ribosome
K02890,-0.6151274499,Ribosome
K02892,-0.6151274499,Ribosome
K02895,-0.6151274499,Ribosome
K02899,-0.6151274499,Ribosome
K02906,-0.6151274499,Ribosome
K02916,-0.6155461694,Ribosome
K02926,-0.6151274499,Ribosome
K02931,-0.6151274499,Ribosome
K02933,-0.6151274499,Ribosome
K02935,-0.6151274499,Ribosome
K02939,-0.6151274499,Ribosome
K02946,-0.6151274499,Ribosome
K02948,-0.6151274499,Ribosome
K02950,-0.6151274499,Ribosome
K02952,-0.6151274499,Ribosome
K02956,-0.6151274499,Ribosome
K02959,-0.6172481871,Ribosome
K02961,-0.6151274499,Ribosome
K02963,-0.6151274499,Ribosome
K02965,-0.6151274499,Ribosome
K02967,-0.6151274499,Ribosome
K02968,-0.6151274499,Ribosome
K02982,-0.6151274499,Ribosome
K02986,-0.6151274499,Ribosome
K02988,-0.6151274499,Ribosome
K02990,-0.6172481871,Ribosome
K02992,-0.6151274499,Ribosome
K02994,-0.6151274499,Ribosome
K02996,-0.6151274499,Ribosome
K02904,-0.6158336896,Ribosome
K02911,-0.6161382494,Ribosome
K02970,-0.6131981597,Ribosome
K02907,-0.577247818,Ribosome
K02954,-0.5562762924,Ribosome
K02914,-0.5218332291,Ribosome
K02945,-0.4619217539,Ribosome