	TL1a_DTT_127_Repeat	TL1a_DTT_157_Repeat	TL1a_FP_85	TL1a_FP_127	TL1a_FP_193	TL1a_FP_265	TL1a_DTT_265	TL1a_FP_157	TL1a_DTT_85	TL1a_DTT_193	TL1a_DTT_283	TL1a_DTT_229	TL1a_FP_283	TL1a_FP_229	TL1A_DTT_673	TL1A_FP_625	TL1A_FP_673
TL1a_DTT_127_Repeat	0.0	0.6649446270316964	2.190089315169798	0.8338503623823775	2.45880482145896	2.633297381905395	0.4593464446801641	1.2274807505760938	1.9738776593579848	1.5236706803812399	1.4759066873464426	3.4159063226305335	1.1572462151028997	2.3812430441437367	3.136760435396669	2.853962601310093	2.967095960104434
TL1a_DTT_157_Repeat	0.6649446270316964	0.0	1.6962178017853027	0.817169044564068	2.111467458494902	2.250097827914587	0.2387446557180717	0.9468168884720701	1.56269047867184	1.3985522968173811	1.423350416411182	2.8295490197132382	1.072419142111417	2.0067028151046946	2.504999628556015	2.302874037337726	2.4629524540104497
TL1a_FP_85	2.190089315169798	1.6962178017853027	0.0	2.09111365621093	2.113721693461801	2.3273251217606705	1.812485434183485	1.8924821147201003	0.48397536695890436	2.4939809790617242	1.6502776793345457	2.5580744439513357	1.527273739041999	0.5960246181865618	1.3700849231604753	0.7144002006548368	0.7985992160605688
TL1a_FP_127	0.8338503623823775	0.817169044564068	2.09111365621093	0.0	1.6886797652052004	1.851549481686994	0.8516096609610375	0.4756475397214216	2.055257247999501	0.7513047912526712	2.023951564794265	2.832043579702438	1.6663589230488052	2.4187906492872386	2.8236754188084325	2.6671463047893154	2.883866600946421
TL1a_FP_193	2.45880482145896	2.111467458494902	2.113721693461801	1.6886797652052004	0.0	0.3931479697987581	2.2754092408043	1.2709535418395324	2.420607378344212	1.3891333828937025	3.1101542568610374	1.809108395676244	2.794175014604069	2.5746659715048366	2.1887863579804336	2.2926262699215845	2.6576295033073607
TL1a_FP_265	2.633297381905395	2.250097827914587	2.3273251217606705	1.851549481686994	0.3931479697987581	0.0	2.4334575939678644	1.4090021673392101	2.6533423700605896	1.4227281329482193	3.3457816778698843	1.532033548805688	3.021846413531422	2.832690786136721	2.201753273770527	2.44681768996331	2.842539810927752
TL1a_DTT_265	0.4593464446801641	0.2387446557180717	1.812485434183485	0.8516096609610375	2.2754092408043	2.4334575939678644	0.0	1.0834167099351606	1.6238117301038055	1.5046687656577045	1.3110970771790909	3.065441766717302	0.9628460814583901	2.0612087910767447	2.7068553341614523	2.4519762775114398	2.5800599118485756
TL1a_FP_157	1.2274807505760938	0.9468168884720701	1.8924821147201003	0.4756475397214216	1.2709535418395324	1.4090021673392101	1.0834167099351606	0.0	1.964700069132001	0.616035542831269	2.1971706488924543	2.371455497505465	1.8396347501471444	2.3070463943707966	2.4471806807862926	2.3825728255862537	2.6548723527403597
TL1a_DTT_85	1.9738776593579848	1.56269047867184	0.48397536695890436	2.055257247999501	2.420607378344212	2.6533423700605896	1.6238117301038055	1.964700069132001	0.0	2.5795518804506528	1.1913350769306834	2.9614600499761323	1.1219617840903837	0.4738662014158763	1.8013881690338003	1.1296974369348334	1.0590077967128002
TL1a_DTT_193	1.5236706803812399	1.3985522968173811	2.4939809790617242	0.7513047912526712	1.3891333828937025	1.4227281329482193	1.5046687656577045	0.616035542831269	2.5795518804506528	0.0	2.730943971302668	2.4821912927270726	2.3695381786011884	2.9208087025933906	2.896624735998764	2.939090329404434	3.239372710485346
TL1a_DTT_283	1.4759066873464426	1.423350416411182	1.6502776793345457	2.023951564794265	3.1101542568610374	3.3457816778698843	1.3110970771790909	2.1971706488924543	1.1913350769306834	2.730943971302668	0.0	3.8207098199747187	0.36174438605461	1.5015866909855167	2.882153979288173	2.3055727127944126	2.1942236267882067
TL1a_DTT_229	3.4159063226305335	2.8295490197132382	2.5580744439513357	2.832043579702438	1.809108395676244	1.532033548805688	3.065441766717302	2.371455497505465	2.9614600499761323	2.4821912927270726	3.8207098199747187	0.0	3.54915232206735	3.1388715068544037	1.6114024274302656	2.3410540960894393	2.7803568053142986
TL1a_FP_283	1.1572462151028997	1.072419142111417	1.527273739041999	1.6663589230488052	2.794175014604069	3.021846413531422	0.9628460814583901	1.8396347501471444	1.1219617840903837	2.3695381786011884	0.36174438605461	3.54915232206735	0.0	1.4969196757521896	2.7282729609461605	2.2129935172392377	2.1705403652162683
TL1a_FP_229	2.3812430441437367	2.0067028151046946	0.5960246181865618	2.4187906492872386	2.5746659715048366	2.832690786136721	2.0612087910767447	2.3070463943707966	0.4738662014158763	2.9208087025933906	1.5015866909855167	3.1388715068544037	1.4969196757521896	0.0	1.843728615983244	1.0285389939461334	0.8249831339412294
TL1A_DTT_673	3.136760435396669	2.504999628556015	1.3700849231604753	2.8236754188084325	2.1887863579804336	2.201753273770527	2.7068553341614523	2.4471806807862926	1.8013881690338003	2.896624735998764	2.882153979288173	1.6114024274302656	2.7282729609461605	1.843728615983244	0.0	0.8663666849921667	1.2579237590223555
TL1A_FP_625	2.853962601310093	2.302874037337726	0.7144002006548368	2.6671463047893154	2.2926262699215845	2.44681768996331	2.4519762775114398	2.3825728255862537	1.1296974369348334	2.939090329404434	2.3055727127944126	2.3410540960894393	2.2129935172392377	1.0285389939461334	0.8663666849921667	0.0	0.44425615701909216
TL1A_FP_673	2.967095960104434	2.4629524540104497	0.7985992160605688	2.883866600946421	2.6576295033073607	2.842539810927752	2.5800599118485756	2.6548723527403597	1.0590077967128002	3.239372710485346	2.1942236267882067	2.7803568053142986	2.1705403652162683	0.8249831339412294	1.2579237590223555	0.44425615701909216	0.0
